#OTU ID	N_ZJ_NB_1	N_ZJ_NB_2	N_ZJ_NB_3	N_HB_X_1	N_HB_X_2	N_HB_X_3	N_HB_Y_1	N_HB_Y_2	N_HB_Y_3	N_HN_C_1	N_HN_C_2	N_HN_C_3	N_HN_M_1	N_HN_M_2	N_HN_M_3	N_HN_Y_2	N_HN_Y_3	N_JS_W_1	N_JS_W_2	N_JS_W_3	M_ZJ_NY_1	M_ZJ_NY_2	M_ZJ_NY_3	M_JL_T_1	M_JL_T_2	M_JL_T_3	M_JS_NX_1	M_JS_NX_2	M_JS_NX_3	M_ZJ_NB_1	M_ZJ_NB_2	M_ZJ_NB_3	M_GX_G_1	M_GX_G_2	M_GX_G_3	M_USA_1	M_USA_2	M_USA_3	M_ZJ_HA_1	M_ZJ_HA_2	M_ZJ_HA_3	M_ZJ_HC_1	M_ZJ_HC_2	M_ZJ_HC_3	M_ZJ_HD_1	M_ZJ_HD_2	M_ZJ_HD_3	M_ZJ_HT_1	M_ZJ_HT_2	M_ZJ_HT_3	M_ZJ_JP_1	M_ZJ_JP_2	M_ZJ_JP_3	M_ZJ_JW_1	M_ZJ_JW_2	M_ZJ_JW_3	M_ZJ_LJ_1	M_ZJ_LJ_2	M_ZJ_LJ_3	M_ZJ_LL_1	M_ZJ_LL_2	M_ZJ_LL_3	M_ZJ_QJ_1	M_ZJ_QJ_2	M_ZJ_QJ_3	M_ZJ_SS_1	M_ZJ_SS_2	M_ZJ_SS_3	M_ZJ_TL_1	M_ZJ_TL_2	M_ZJ_TL_3	M_ZJ_TT_1	M_ZJ_TT_2	M_ZJ_TT_3	M_ZJ_WP_1	M_ZJ_WP_2	M_ZJ_WP_3	M_ZJ_WY_1	M_ZJ_WY_2	M_ZJ_WY_3	M_ZJ_ZD_1	M_ZJ_ZD_2	M_ZJ_ZD_3	N_USA_1	N_USA_2	N_USA_3	N_ZJ_LJ_1	N_ZJ_LJ_2	N_ZJ_LJ_3	kindom	phylum	class	order	family	genus
ZOTU_11	0	0	0	0	0	0	0.000183152	0.000217493	0	0.000366305	0	0	2.2894E-05	1.1447E-05	0	3.43411E-05	0	0	0	0	0.088577021	0.059100951	0.056719972	2.2894E-05	2.2894E-05	5.72351E-05	0.001636923	0.002140592	0.001911652	0.000572351	0.001270619	0.000572351	0.033791596	0.047001454	0.031742579	0.001259172	0.00107602	0.001648371	0.000789844	0.001121808	0.000354858	0.01665541	0.014022596	0.011229524	0.005071029	0.002026122	0.022127085	0.009604048	0.006810975	0.004578807	0.001098914	0.003560022	0.001968887	0.01999794	0.03185705	0.008413558	2.2894E-05	0.00207191	3.43411E-05	0.001385089	0.001865864	0.001259172	0.018979155	0.020158198	0.027827699	0.000721162	0.000686821	0.000629586	0.20644696	0.005311416	0.026934832	5.72351E-05	0.000629586	0.000526563	0.023970055	0.059089504	0.023340469	0.292791813	0.315960576	0.239105301	0.001339301	0.001327854	0.001407983	0	0	0	0	2.2894E-05	0	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Ophiostomatales	f:Ophiostomataceae	
ZOTU_12	0	0	0	0	0	0	4.57881E-05	1.1447E-05	0	3.43411E-05	0	0	0	0	0	0	0	0	0	0	0.014640735	0.007326091	0.010370998	0	0	1.1447E-05	0.000137364	0.000263281	0.000354858	9.15761E-05	6.86821E-05	0.000125917	0.002026122	0.003697387	0.002953331	6.86821E-05	0.000103023	0.000125917	0.00533431	0.008470793	0.002106251	0.260625694	0.228299317	0.158174888	0.001854417	0.000675374	0.014308772	0.00564338	0.005036688	0.003960668	0.007142939	0.013335775	0.008436452	0.000984444	0.015934248	0.000583798	0	4.57881E-05	1.1447E-05	0.004704724	0.00641033	0.007131492	0.00053801	0.007566479	0.019208095	0.000137364	5.72351E-05	0.000160258	0.071830035	0.001064573	0.001717053	0	3.43411E-05	3.43411E-05	0.181366545	0.216783617	0.180450784	0.004132373	0.012294097	0.00598679	0.007268856	0.010222187	0.005860873	1.1447E-05	0	0	0	0	0	d:Fungi					
ZOTU_13	0	0	0	0	0	0	1.1447E-05	1.1447E-05	0	0	0	0	4.57881E-05	1.1447E-05	0.006467565	1.1447E-05	0	0	0	0	0.000320516	3.43411E-05	9.15761E-05	0.000904314	0.011550041	0.01554505	0.001522453	0.002850307	0.002232168	0.002117698	0.001373642	0.001911652	0.001201937	0.003102142	0.002506897	0.003880539	0.001614029	0.003788963	2.2894E-05	2.2894E-05	1.1447E-05	0.001671265	0.001110361	0.001877311	2.2894E-05	0	2.2894E-05	0.001236278	0.001785735	0.00107602	0	1.1447E-05	0	0.007005575	0.000641033	4.57881E-05	0.001648371	0.002941883	0.002712943	0	0	1.1447E-05	0.006845316	0.003399764	0.000137364	0.003891986	0.016563834	0.004899323	5.72351E-05	3.43411E-05	0.001213384	0.345310729	0.306631257	0.387561671	0.001362195	0.001430877	0.001087467	0.10255383	0.065545622	0.0032624	1.1447E-05	1.1447E-05	0	0	0	0	0	0	0	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Hyphodermataceae	g:Hyphoderma
ZOTU_14	0.003891986	0.204970295	0.000434987	1.1447E-05	0.000263281	0.000274728	2.2894E-05	0	1.1447E-05	4.57881E-05	0.000331964	0.005254181	1.1447E-05	0	2.2894E-05	6.86821E-05	0	0.001865864	0.000194599	0	0	1.1447E-05	0	0	0.000103023	1.1447E-05	1.1447E-05	5.72351E-05	8.01291E-05	0.011378335	0.011916345	0.000297622	0.003869092	0.007577926	0.005551803	0.524777069	0.536166852	0.020284115	0	0	0	1.1447E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2894E-05	0.000171705	2.2894E-05	0	0	0	0	0	1.1447E-05	0	0	0	0	4.57881E-05	2.2894E-05	6.86821E-05	0.005849426	0.005506015	0	0	0	0	5.72351E-05	1.1447E-05	2.2894E-05	9.15761E-05	0	0.001156149	0.002758731	0.035371284	0.000343411	0	0.000457881	d:Fungi	p:Ascomycota				
ZOTU_15	0.000721162	0.002037569	0.00130496	0	0.000629586	0.000675374	0.146373013	0.000824185	1.1447E-05	0.002918989	0.001236278	0.071543859	0.00088142	0.000732609	0.063450818	0.001488112	0.097459907	0	0.244210671	0.000183152	0	0	0	8.01291E-05	2.2894E-05	2.2894E-05	4.57881E-05	0.004899323	6.86821E-05	0.002049016	2.2894E-05	3.43411E-05	3.43411E-05	0.00238098	0	0.001259172	3.43411E-05	0.000412093	0.000137364	4.57881E-05	3.43411E-05	2.2894E-05	4.57881E-05	2.2894E-05	8.01291E-05	2.2894E-05	1.1447E-05	0.000183152	3.43411E-05	9.15761E-05	3.43411E-05	6.86821E-05	1.1447E-05	0	0	3.43411E-05	0.002690049	4.57881E-05	3.43411E-05	0.000343411	0.00053801	2.2894E-05	0.000103023	4.57881E-05	0.000835632	1.1447E-05	0	1.1447E-05	0.000137364	3.43411E-05	8.01291E-05	0.000927208	1.1447E-05	0	0.000194599	0.000183152	1.1447E-05	0	0.000194599	8.01291E-05	4.57881E-05	4.57881E-05	4.57881E-05	0.021199876	0.40103481	0.002049016	0.003869092	0	0.006055472	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Cladosporiaceae	g:Cladosporium
ZOTU_16	1.1447E-05	0	0	0	0	0	0	0	0	0	0	8.01291E-05	0	0	0	1.1447E-05	0	0	0	0	0	0	0	0	3.43411E-05	3.43411E-05	0.00011447	0.00022894	0.000309069	0.000103023	0.000217493	5.72351E-05	2.2894E-05	0.000171705	0.000125917	0.002255062	0.001923099	0.000950102	0.006467565	0.006719399	0.004235396	3.43411E-05	1.1447E-05	3.43411E-05	0.007165833	0.007692396	0.013427352	6.86821E-05	8.01291E-05	8.01291E-05	0.011469912	0.014560606	0.009054591	0.359802653	0.311484793	0.313339209	0	5.72351E-05	0	0	0.000183152	2.2894E-05	0.003468446	0.015190192	0.006513353	0	0	0	3.43411E-05	1.1447E-05	2.2894E-05	1.1447E-05	4.57881E-05	8.01291E-05	6.86821E-05	1.1447E-05	3.43411E-05	0.00260992	0.013999702	0.006124154	1.1447E-05	1.1447E-05	9.15761E-05	1.1447E-05	0	0	0	0	0	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Talaromyces
ZOTU_17	0	0	0	0	0	0	0	0	0	0	0	1.1447E-05	4.57881E-05	0	0	0	0	0	0	0	0.000618139	9.15761E-05	0.00022894	0	2.2894E-05	8.01291E-05	6.86821E-05	8.01291E-05	0.00011447	0.000434987	8.01291E-05	0.000309069	0	0	0	0	0	0	0.002083357	0.00184297	0.001224831	6.86821E-05	0	5.72351E-05	0.117961515	0.079144679	0.028205451	0.003846198	0.005013794	0.003216612	0.003937774	0.010474021	0.003811857	0.085909866	0.004784853	0.148937144	0.000206046	0.008402111	0.00022894	0.00314793	0.091164047	0.040510995	0.005906661	0.005380098	0.009420895	0	0	0	0.117080095	0.176490116	0.222770407	3.43411E-05	0	3.43411E-05	9.15761E-05	0.003353976	0.000892867	0.000675374	0.000583798	0.002358086	0.003388317	0.003102142	0.003308188	0	0	0	0	0	0	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Hymenochaetales	f:Hymenochaetales_fam_Incertae_sedis	g:Trichaptum
ZOTU_18	0.019814787	0	0	0	0	0	0	0	0	0	0	0	0.011275312	1.1447E-05	1.1447E-05	3.43411E-05	0	0	0	0	0	0	0	0	0	0	0	0	2.2894E-05	1.1447E-05	1.1447E-05	0	0	0	0	1.1447E-05	0	3.43411E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2894E-05	0.03361989	2.2894E-05	0	0	0	0	0	0	0	0	0	0	0	0	1.1447E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.983871152	0	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Bipolaris
ZOTU_19	0	0	0	0	0	0	0	0	0	0	0	0	1.1447E-05	1.1447E-05	0.004429996	0	1.1447E-05	0	0	0	0	0	0	0.000755503	0.009054591	0.012374226	0.00107602	0.00195744	0.001648371	0.0017285	0.000892867	0.001808629	0.001030232	0.002243615	0.001900205	0.003193718	0.001682712	0.002850307	0	0	1.1447E-05	0.001945993	0.000847079	0.0017285	0	0	6.86821E-05	0.000984444	0.001705606	0.000938655	1.1447E-05	3.43411E-05	2.2894E-05	0.00686821	0.000629586	4.57881E-05	0.001270619	0.002014675	0.002438215	0	0	3.43411E-05	0.005860873	0.003285294	6.86821E-05	0	0	0	0	2.2894E-05	0.001224831	0.269874884	0.249316041	0.29637473	0.00119049	0.001339301	0.001030232	0.089446995	0.05730377	0.002243615	1.1447E-05	0	1.1447E-05	2.2894E-05	0	0	0	0	0	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Hyphodermataceae	g:Hyphoderma
ZOTU_20	0	0	0	0	0	0	0	0	0	0	0	0	1.1447E-05	0.000469328	0	1.1447E-05	0.000434987	0	0	0.000137364	0.000801291	0.000400646	0.000698268	1.1447E-05	0.000446434	0.000354858	0.000400646	0.000583798	0.000457881	0.000549457	0.000331964	0.000503669	0	2.2894E-05	1.1447E-05	0	1.1447E-05	3.43411E-05	0.002941883	0.006570588	0.00303346	0.131800959	0.197392369	0.228665621	0.003250953	0.012099497	0.013461693	0.002403874	0.003342529	0.002369533	0.003445552	0.001156149	0.082590231	0.00130496	0.000469328	0.000869973	0.036092446	0.000457881	0.043258279	0.001854417	0.000137364	0.000950102	0.000309069	0.001041679	0.000950102	0.006272966	0.006204283	0.006547694	0.008963015	0.001785735	0.005071029	0.000389199	0	0	0.083986767	0.004636042	0.005002347	0.003869092	0.017788665	0.015510709	0.003125036	0.007680949	0.007577926	0	0	0	0	0	0	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Pichiaceae	g:Ogataea
