	N_ZJ_NY_1	N_ZJ_NY_2	N_ZJ_NY_3	N_JL_T_1	N_JL_T_2	N_JL_T_3	N_JS_NX_1	N_JS_NX_2	N_JS_NX_3	N_ZJ_NB_1	N_ZJ_NB_2	N_ZJ_NB_3	N_AH_C_1	N_AH_C_2	N_AH_C_3	N_CQ_W_1	N_CQ_W_2	N_CQ_W_3	N_GX_G_1	N_GX_G_2	N_GX_G_3	N_HB_X_1	N_HB_X_2	N_HB_X_3	N_HB_Y_1	N_HB_Y_2	N_HB_Y_3	N_HN_C_1	N_HN_C_2	N_HN_C_3	N_HN_H_1	N_HN_H_2	N_HN_H_3	N_HN_M_1	N_HN_M_2	N_HN_M_3	N_HN_Y_1	N_HN_Y_2	N_HN_Y_3	N_JL_J_1	N_JL_J_2	N_JS_W_1	N_JS_W_2	N_JS_W_3	N_SC_L_1	N_SC_L_2	N_SC_L_3	N_SN_X_1	N_SN_X_2	N_SN_X_3	N_USA_1	N_USA_2	N_USA_3	N_ZJ_HA_1	N_ZJ_HA_2	N_ZJ_HA_3	N_ZJ_HC_1	N_ZJ_HC_2	N_ZJ_HC_3	N_ZJ_HD_1	N_ZJ_HD_2	N_ZJ_HD_3	N_ZJ_HT_1	N_ZJ_HT_2	N_ZJ_HT_3	N_ZJ_J_1	N_ZJ_J_2	N_ZJ_J_3	N_ZJ_JP_1	N_ZJ_JP_2	N_ZJ_JP_3	N_ZJ_JW_1	N_ZJ_JW_2	N_ZJ_JW_3	N_ZJ_LJ_1	N_ZJ_LJ_2	N_ZJ_LJ_3	N_ZJ_LL_1	N_ZJ_LL_2	N_ZJ_LL_3	N_ZJ_QJ_1	N_ZJ_QJ_2	N_ZJ_QJ_3	N_ZJ_SS_1	N_ZJ_SS_2	N_ZJ_SS_3	N_ZJ_TL_1	N_ZJ_TL_2	N_ZJ_TL_3	N_ZJ_TT_1	N_ZJ_TT_2	N_ZJ_TT_3	N_ZJ_WP_1	N_ZJ_WP_2	N_ZJ_WP_3	N_ZJ_WY_1	N_ZJ_WY_2	N_ZJ_WY_3	N_ZJ_ZD_1	N_ZJ_ZD_2	N_ZJ_ZD_3	M_ZJ_NY_1	M_ZJ_NY_2	M_ZJ_NY_3	M_JL_T_1	M_JL_T_2	M_JL_T_3	M_JS_NX_1	M_JS_NX_2	M_JS_NX_3	M_ZJ_NB_1	M_ZJ_NB_2	M_ZJ_NB_3	M_GX_G_1	M_GX_G_2	M_GX_G_3	M_USA_1	M_USA_2	M_USA_3	M_ZJ_HA_1	M_ZJ_HA_2	M_ZJ_HA_3	M_ZJ_HC_1	M_ZJ_HC_2	M_ZJ_HC_3	M_ZJ_HD_1	M_ZJ_HD_2	M_ZJ_HD_3	M_ZJ_HT_1	M_ZJ_HT_2	M_ZJ_HT_3	M_ZJ_JP_1	M_ZJ_JP_2	M_ZJ_JP_3	M_ZJ_JW_1	M_ZJ_JW_2	M_ZJ_JW_3	M_ZJ_LJ_1	M_ZJ_LJ_2	M_ZJ_LJ_3	M_ZJ_LL_1	M_ZJ_LL_2	M_ZJ_LL_3	M_ZJ_QJ_1	M_ZJ_QJ_2	M_ZJ_QJ_3	M_ZJ_SS_1	M_ZJ_SS_2	M_ZJ_SS_3	M_ZJ_TL_1	M_ZJ_TL_2	M_ZJ_TL_3	M_ZJ_TT_1	M_ZJ_TT_2	M_ZJ_TT_3	M_ZJ_WP_1	M_ZJ_WP_2	M_ZJ_WP_3	M_ZJ_WY_1	M_ZJ_WY_2	M_ZJ_WY_3	M_ZJ_ZD_1	M_ZJ_ZD_2	M_ZJ_ZD_3
N_JS_W_3	0.935436589	0.940439727	0.954030344	0.534085422	0.772385369	0.457543665	0.568885275	0.426037737	0.452860974	0.274750167	0.238053225	0.253919898	0.280849882	0.417917621	0.267912952	0.447291767	0.545916116	0.255727177	0.295072148	0.268730148	0.253279021	0.61679056	0.900397141	0.23409525	0.302724164	0.288675314	0.272182875	0.508124391	0.240453801	0.266538501	0.267405639	0.314789402	0.117415044	0.285053048	0.368208179	0.269465929	0.255085605	0.293091194	0.279232286	0.257093297	0.138553278	0.288766633	0.273114903	0	0.872241471	0.289382405	0.240660627	0.229720786	0.271165582	0.296155998	0.374372783	0.395305218	0.420990774	0.918740333	0.931289054	0.684335584	0.892199924	0.937497363	0.712401392	0.851088534	0.888010744	0.583640636	0.561500458	0.573406918	0.514585229	0.614515692	0.642180644	0.531838831	0.892212251	0.928478811	0.928693321	0.551119954	0.54801646	0.341692915	0.461541825	0.426533081	0.501861848	0.933215201	0.954004086	0.957535778	0.577808764	0.576791774	0.529609109	0.922163873	0.915248862	0.903342395	0.737017214	0.715906877	0.535508265	0.254800488	0.244262951	0.230911993	0.558744762	0.937095031	0.933201348	0.537581592	0.673633194	0.680200818	0.803049958	0.933777105	0.91958183	0.973935863	0.974859589	0.970832168	0.844411652	0.865039469	0.85349559	0.867341548	0.931540465	0.928263678	0.855849065	0.904435744	0.883555103	0.918269887	0.923928952	0.957614319	0.908182484	0.912608765	0.889948153	0.841548771	0.846218005	0.850552663	0.963420913	0.963380382	0.965869404	0.946390539	0.960678267	0.9723715	0.965053145	0.966283841	0.968559055	0.961494056	0.955260418	0.955340527	0.968264322	0.968892432	0.954297494	0.893454008	0.850565043	0.920048524	0.972531806	0.958832254	0.964664734	0.967742575	0.980064299	0.96998976	0.971915813	0.980398655	0.965508477	0.89552929	0.879154812	0.916292015	0.770366473	0.867942491	0.730073162	0.961320365	0.956303774	0.957921925	0.974351399	0.979422239	0.957561429	0.972731956	0.969172932	0.960344297
N_SC_L_1	0.969858157	0.977403416	0.965174303	0.831797513	0.87821675	0.87980878	0.876691072	0.884639783	0.880733252	0.887703554	0.878016179	0.878257605	0.889683589	0.883716118	0.881482315	0.868173341	0.892533404	0.891381975	0.881950094	0.890968033	0.888412527	0.887649454	0.909763086	0.886057318	0.88352928	0.879086891	0.889535879	0.881962895	0.881188037	0.884907111	0.880037275	0.886994693	0.886927443	0.884293213	0.876531561	0.888799812	0.889657269	0.884921552	0.888773495	0.882511247	0.8842636	0.871386063	0.871305692	0.872241471	0	0.862633594	0.869859468	0.885884101	0.87809572	0.881106698	0.887262347	0.867599066	0.863600551	0.95140923	0.964694034	0.899288338	0.964213057	0.974326681	0.923690057	0.935101897	0.948078262	0.893603304	0.893697213	0.891088389	0.891877827	0.88881341	0.887622812	0.881374156	0.946192374	0.962713416	0.963114409	0.892011125	0.890405633	0.887422925	0.883769992	0.881388804	0.884264796	0.961630163	0.968974687	0.973335761	0.888332143	0.891542559	0.892091581	0.96158947	0.950058526	0.950272646	0.925309404	0.897442747	0.893335236	0.842004616	0.881815819	0.881869758	0.89404517	0.970072033	0.965148511	0.893242251	0.896038672	0.901108484	0.931703754	0.963115137	0.898083657	0.988332565	0.988547041	0.986861049	0.900600071	0.905349195	0.901844327	0.90485421	0.953951006	0.952211936	0.901001852	0.942418863	0.918633599	0.936412442	0.94477385	0.971810468	0.941990908	0.951073634	0.925643331	0.918379411	0.917483332	0.919182012	0.985429393	0.987596661	0.989643446	0.968078384	0.97736277	0.986941538	0.984573768	0.983904689	0.986553511	0.98445307	0.982780501	0.981778029	0.985055357	0.986472892	0.974606751	0.925375438	0.908050944	0.94991065	0.986593886	0.984118618	0.986914574	0.986527043	0.992775036	0.987195858	0.98690097	0.992587342	0.988292758	0.936172256	0.935958108	0.951798136	0.892050763	0.902646746	0.894673883	0.981910974	0.978098543	0.976974593	0.991650714	0.993363369	0.979262687	0.988520122	0.985803609	0.98097508
N_SC_L_2	0.93819275	0.960854136	0.940719928	0.47171436	0.70601611	0.430237849	0.695487282	0.385143303	0.426039731	0.255782171	0.232181913	0.180653605	0.262296937	0.491510317	0.190713376	0.534097481	0.537114401	0.234512298	0.389399029	0.208599688	0.226125327	0.58480114	0.884464559	0.236598441	0.29615745	0.30181448	0.272024092	0.49964418	0.220510795	0.279637784	0.203110481	0.259768833	0.289614039	0.22358584	0.475832125	0.249175258	0.235917913	0.211730595	0.218875133	0.155075791	0.239622194	0.179151358	0.199807221	0.289382405	0.862633594	0	0.16182642	0.255702655	0.158912698	0.159449293	0.328114657	0.42493652	0.376482731	0.889965248	0.898165763	0.634129976	0.856374553	0.898688823	0.657981649	0.807960225	0.874474213	0.565756868	0.541195102	0.555857677	0.498467649	0.597888655	0.640323411	0.619586386	0.874501107	0.914460099	0.913644192	0.537770919	0.526734451	0.29321444	0.420475027	0.432180523	0.645808101	0.910941345	0.932774271	0.935931889	0.565141203	0.563348633	0.507069287	0.898125565	0.891115997	0.886179758	0.699052239	0.707761143	0.516874578	0.237248862	0.198563081	0.22011778	0.537222213	0.903116282	0.899062378	0.524339298	0.635749085	0.633969266	0.755225308	0.902888312	0.881936925	0.973388049	0.974043844	0.968866184	0.831528767	0.853387912	0.84454643	0.858177759	0.920062897	0.917655082	0.846699697	0.894350325	0.874324993	0.915327736	0.92027715	0.955956257	0.898069797	0.903393214	0.876344996	0.833657369	0.83839393	0.841417338	0.953870168	0.956023264	0.956866848	0.929534618	0.946338246	0.957014027	0.95471253	0.956264421	0.963743044	0.953989007	0.941147172	0.95199657	0.954311572	0.95483258	0.93836544	0.863778332	0.833655782	0.906872097	0.968183623	0.959688759	0.965574785	0.964157204	0.975810457	0.96077289	0.968972727	0.976492508	0.945067464	0.880412764	0.863810538	0.900800409	0.762299383	0.856277507	0.72391966	0.951474817	0.946899905	0.945762447	0.977575826	0.979529081	0.948946326	0.971916442	0.965227469	0.950713383
N_SC_L_3	0.940359574	0.957830973	0.946819288	0.489015424	0.762887177	0.413157297	0.709203268	0.379885802	0.42265508	0.187434514	0.171474028	0.109148147	0.206310738	0.481261822	0.132987024	0.53558354	0.538237769	0.159917687	0.372516194	0.135771346	0.154325535	0.610677141	0.885919938	0.163207843	0.290498325	0.282081749	0.20905474	0.499041478	0.154972636	0.2140603	0.181909595	0.20582731	0.229801925	0.163732782	0.464473946	0.167502897	0.160158059	0.163543134	0.149243416	0.105659764	0.180012739	0.156836555	0.163659709	0.240660627	0.869859468	0.16182642	0	0.223876004	0.112039751	0.171075626	0.31211387	0.419385597	0.372804699	0.899623786	0.903543334	0.634704096	0.856106331	0.905283739	0.654302433	0.805551227	0.879690102	0.567347639	0.543427562	0.557822335	0.497476292	0.614263113	0.644416611	0.619051364	0.878807503	0.922579063	0.924091181	0.541862958	0.530090947	0.2851858	0.416874606	0.431564802	0.638556133	0.920813657	0.940906353	0.945254866	0.571628317	0.568992258	0.506907512	0.904024466	0.904466686	0.894205568	0.693071203	0.711225009	0.515535983	0.178014517	0.177858317	0.12184273	0.536832535	0.912760769	0.907690181	0.527950298	0.63799545	0.625393272	0.746235215	0.912787154	0.886632135	0.970298258	0.971007059	0.966512473	0.832332088	0.855903143	0.845255997	0.858565612	0.921508318	0.918003142	0.846164699	0.896062871	0.874204778	0.910351316	0.916959771	0.951246783	0.899595077	0.904985147	0.880318211	0.838058556	0.842325945	0.84631322	0.957830241	0.957562202	0.956933407	0.936478303	0.951287843	0.96417099	0.958405069	0.960839782	0.962713135	0.9511137	0.946578822	0.948799605	0.958900479	0.959876434	0.943234695	0.886485364	0.826296878	0.913053194	0.96454581	0.952051033	0.957695934	0.95864621	0.973134929	0.961027242	0.9659899	0.974098003	0.946205178	0.88552361	0.866753982	0.905242216	0.764493082	0.860879897	0.725003498	0.956371533	0.950431863	0.95215744	0.970472663	0.976412766	0.949695907	0.966338318	0.963127124	0.953201591
N_SN_X_1	0.945175837	0.946500299	0.945201914	0.531643406	0.782580268	0.430747304	0.678688822	0.410583167	0.431974957	0.266237806	0.23208553	0.235282832	0.268057562	0.448617345	0.242385924	0.507162455	0.547144804	0.254104218	0.345945432	0.245435834	0.254492307	0.617016619	0.894378278	0.234360634	0.310103357	0.301632142	0.268966204	0.515399553	0.23013511	0.273960321	0.240994597	0.278144054	0.231483017	0.246414097	0.425837061	0.259508906	0.232886674	0.25612438	0.25881437	0.227018178	0.199513491	0.253157812	0.243392396	0.229720786	0.885884101	0.255702655	0.223876004	0	0.221184723	0.236769396	0.360630399	0.409343447	0.414559809	0.914660288	0.923302206	0.681538388	0.884948554	0.928975174	0.707879272	0.850540297	0.899783315	0.59301666	0.567210689	0.582675678	0.522087755	0.623411887	0.653645288	0.573632416	0.890446623	0.93098136	0.924907822	0.555599684	0.55621496	0.342585722	0.450905317	0.414705673	0.606207892	0.930258619	0.948305687	0.953790494	0.581833082	0.58618051	0.532255255	0.916505973	0.917603807	0.908319147	0.740653843	0.719825124	0.537954326	0.254805318	0.244434573	0.230200079	0.5611505	0.931288902	0.926446017	0.542595651	0.67329742	0.680066136	0.799570849	0.931904457	0.914980735	0.976946213	0.97837817	0.97131436	0.842270322	0.863098866	0.851059929	0.854376737	0.926858865	0.924798499	0.853280816	0.899206671	0.878966634	0.912918236	0.922711929	0.958016163	0.905561527	0.911366873	0.880892764	0.84406466	0.846606258	0.850137713	0.96013049	0.956745549	0.955702591	0.940224162	0.955355075	0.96562959	0.961655526	0.963996737	0.967595972	0.960344443	0.949253916	0.955300694	0.961321446	0.96182927	0.949227422	0.889107177	0.841696583	0.916077247	0.972612478	0.963220525	0.967996457	0.968705903	0.978191574	0.968946676	0.972009765	0.978592975	0.961268146	0.892117796	0.876813309	0.908198245	0.777468316	0.867433682	0.73444676	0.956705516	0.956050272	0.954658486	0.975127605	0.980198176	0.954846166	0.976799444	0.970216685	0.961334458
N_SN_X_2	0.941684083	0.964907953	0.950352398	0.47224148	0.743537083	0.410942304	0.703803267	0.371924732	0.420433177	0.188797822	0.176035183	0.112836592	0.209385533	0.492966187	0.123793531	0.557594398	0.543949753	0.170576992	0.384539968	0.138029512	0.163795656	0.602300062	0.891647232	0.184128724	0.287191708	0.281371313	0.212798695	0.500993571	0.17589368	0.236452362	0.176942467	0.215605516	0.260528062	0.179155072	0.478613441	0.180088755	0.168464076	0.159528058	0.161989995	0.108528345	0.195939238	0.151877328	0.17597081	0.271165582	0.87809572	0.158912698	0.112039751	0.221184723	0	0.144767884	0.31386513	0.431564321	0.360152988	0.902821161	0.906834968	0.637393558	0.856147208	0.904213607	0.658061765	0.805685365	0.882005004	0.573313513	0.54800274	0.561595071	0.503374361	0.613152183	0.649431957	0.629377675	0.88291547	0.923436264	0.925095268	0.543267023	0.532204127	0.280703499	0.41380987	0.424391897	0.641939808	0.919008239	0.939435911	0.943222456	0.570637371	0.570811469	0.509635611	0.903047641	0.903463806	0.891370111	0.699438884	0.715612256	0.521850099	0.194379315	0.179230711	0.16119856	0.541327372	0.911303234	0.907610858	0.531561436	0.639239217	0.630423306	0.75056968	0.916225914	0.889149382	0.979087233	0.979916731	0.975114281	0.843248249	0.867234645	0.856653075	0.868947173	0.930524884	0.928759646	0.859328363	0.90608295	0.885107522	0.918913277	0.92671229	0.959087046	0.906337438	0.912450268	0.886752639	0.846473234	0.850125234	0.85249355	0.963261376	0.961508115	0.959568934	0.943355149	0.958565569	0.970833374	0.966538405	0.967863251	0.970405512	0.959688929	0.954123892	0.956010533	0.966071046	0.964665671	0.951716895	0.884020679	0.840317864	0.921962065	0.972974333	0.964505682	0.969696173	0.968117815	0.979877745	0.971194921	0.974123882	0.979810739	0.952225112	0.895691072	0.878901378	0.915904895	0.774780749	0.870284458	0.735477686	0.962444874	0.959033791	0.958605701	0.977964217	0.982753915	0.960197598	0.976211126	0.972892913	0.963221129
N_SN_X_3	0.937791249	0.961550627	0.930740559	0.469017887	0.728031454	0.396467823	0.700336651	0.365477005	0.407604202	0.257786482	0.232555711	0.172904981	0.258334693	0.492659128	0.189881288	0.53715266	0.527241676	0.231753741	0.386506468	0.211419882	0.22903854	0.58354414	0.875206837	0.239163528	0.307699219	0.306533924	0.272744522	0.505115205	0.222595727	0.278311533	0.204527972	0.257116734	0.292447005	0.214405313	0.478533785	0.246817739	0.232409279	0.214537615	0.215795279	0.150855234	0.234225982	0.187261632	0.204439267	0.296155998	0.881106698	0.159449293	0.171075626	0.236769396	0.144767884	0	0.327189365	0.435082795	0.34402084	0.884506712	0.889898295	0.627199788	0.844601951	0.893872513	0.644657389	0.796053535	0.863035553	0.550197072	0.530303825	0.544525299	0.486599596	0.582636749	0.62710463	0.611344226	0.860347447	0.905938234	0.899236034	0.526077286	0.512980545	0.28518463	0.365997197	0.391844508	0.642261593	0.899691047	0.923677209	0.928105317	0.554705208	0.549849178	0.490693944	0.901188783	0.889176204	0.887570977	0.689954187	0.69502404	0.502746411	0.243075339	0.211685378	0.211659543	0.52210396	0.895998838	0.891128893	0.512671932	0.621793986	0.620590522	0.744027568	0.898085899	0.877176194	0.977067577	0.978004023	0.972799732	0.824145351	0.847007572	0.836988694	0.849737147	0.911368663	0.908840928	0.83717502	0.88524064	0.8649072	0.918177588	0.922993305	0.958485448	0.89013755	0.893681827	0.859622799	0.828119274	0.83265403	0.834032385	0.939623055	0.938512197	0.939503049	0.924492519	0.940934067	0.952947306	0.95318805	0.947569256	0.968626433	0.955769537	0.943689099	0.955716403	0.946954428	0.94679312	0.931703505	0.862576113	0.826378391	0.901159727	0.973749556	0.96596361	0.970619316	0.966833468	0.978272432	0.965281439	0.973896832	0.981536471	0.96060022	0.876105332	0.858807966	0.896092128	0.755410284	0.850352197	0.716067376	0.948050761	0.950124044	0.946244573	0.976318659	0.981121933	0.949976917	0.975555597	0.966993487	0.953254844
N_USA_1	0.936399724	0.96660704	0.947194732	0.411351233	0.75979761	0.37838718	0.707142831	0.242022527	0.293621812	0.307853546	0.335522853	0.314104534	0.32252891	0.513285578	0.330932843	0.555723117	0.535704567	0.314062979	0.426920752	0.313752985	0.30489749	0.611772631	0.895193342	0.329394993	0.383521119	0.355119428	0.327493979	0.511131555	0.329705794	0.330010905	0.342691809	0.39926524	0.3698491	0.356111177	0.482384095	0.338558908	0.34500609	0.346436945	0.349380275	0.315818769	0.334361132	0.326640678	0.338387685	0.374372783	0.887262347	0.328114657	0.31211387	0.360630399	0.31386513	0.327189365	0	0.32089033	0.274387562	0.89175683	0.899663327	0.688521616	0.878914784	0.912105792	0.718259427	0.827155412	0.876826715	0.587919478	0.568040294	0.578568697	0.544468738	0.621980555	0.656280999	0.622340082	0.865750537	0.923797118	0.927650012	0.575866845	0.561338409	0.389153554	0.336444377	0.358251163	0.609779809	0.91411175	0.929669954	0.933991222	0.589069919	0.580842439	0.548857358	0.861602987	0.887623878	0.885429787	0.742620628	0.711878735	0.551011081	0.325867705	0.311617049	0.296807441	0.570166833	0.922071486	0.909095145	0.566394709	0.687423986	0.682085914	0.796427248	0.899088654	0.902566565	0.953012661	0.953494301	0.948919411	0.812758111	0.835740913	0.819459675	0.840931725	0.903700635	0.90169329	0.827178536	0.882603366	0.85457727	0.903874324	0.904770663	0.944195316	0.866603818	0.873131872	0.852971263	0.822190784	0.829080395	0.835448075	0.939942871	0.942550981	0.943755249	0.917560617	0.937748141	0.95496569	0.943139494	0.947568252	0.957119576	0.939179211	0.930309797	0.941640905	0.951180023	0.950777981	0.926791969	0.862805452	0.833802037	0.889400033	0.962256612	0.938496987	0.946817877	0.94756827	0.967448718	0.916424741	0.959941767	0.971849486	0.937387481	0.874685382	0.861922771	0.896531921	0.737883135	0.842590724	0.69354859	0.936035909	0.930885691	0.933506459	0.96854506	0.971796388	0.937266621	0.960784824	0.951835119	0.93552788
N_USA_2	0.920051556	0.920412503	0.939876852	0.380846702	0.72733005	0.307729521	0.620014354	0.296034725	0.300250043	0.458519836	0.416119471	0.433555532	0.473971193	0.448187987	0.447721353	0.467009626	0.550959719	0.466640637	0.389384095	0.455964046	0.456473246	0.604898532	0.884999382	0.442908015	0.487590754	0.457476083	0.486052604	0.516512741	0.439166339	0.480781368	0.459295204	0.500538716	0.400473684	0.471899164	0.442908672	0.474988309	0.457770994	0.475336359	0.477717063	0.428501294	0.391204896	0.432909438	0.441137464	0.395305218	0.867599066	0.42493652	0.419385597	0.409343447	0.431564321	0.435082795	0.32089033	0	0.278920078	0.885523418	0.891088697	0.67499825	0.872093261	0.904521394	0.705138098	0.821965899	0.854458951	0.585634375	0.570785369	0.564979149	0.562397589	0.60371951	0.627277373	0.534180823	0.855905063	0.915555542	0.905977508	0.59433039	0.568832205	0.451536901	0.341850882	0.308475211	0.525019271	0.902860694	0.918111162	0.922018032	0.600591085	0.596108503	0.562264619	0.855208961	0.874353131	0.872841139	0.730622403	0.711719714	0.568564428	0.459024078	0.437811234	0.423630209	0.572042421	0.912653407	0.897108743	0.586651673	0.672375953	0.668094428	0.783732894	0.887089088	0.892746616	0.964999873	0.965535318	0.961682275	0.827382823	0.848705855	0.837175341	0.850686033	0.915862414	0.912798975	0.839087391	0.890564301	0.868158131	0.91190248	0.915126775	0.953427875	0.887635554	0.892610885	0.870218044	0.83210514	0.837121609	0.84030593	0.948076873	0.951581269	0.947341248	0.930377992	0.946338061	0.960398501	0.949802521	0.952558268	0.964424341	0.952531123	0.941521133	0.955554292	0.957950257	0.958845528	0.938953533	0.877762901	0.843582567	0.903674902	0.971943039	0.952718646	0.962297158	0.962110564	0.975060923	0.933027231	0.968999507	0.980545784	0.942458443	0.882365837	0.867503109	0.904145203	0.755049777	0.852559535	0.716964347	0.941026614	0.93653184	0.93786878	0.974739484	0.978766626	0.946150184	0.968839358	0.959580863	0.943648799
N_USA_3	0.920547345	0.946205939	0.932398525	0.346237847	0.730847703	0.32074433	0.701269952	0.223565891	0.257440233	0.415148929	0.406170637	0.36516732	0.421543168	0.502116644	0.386063706	0.530794544	0.526852688	0.413918155	0.414828815	0.402493281	0.407309378	0.596095448	0.86512058	0.415884224	0.441089073	0.422279029	0.438734409	0.487415217	0.409787815	0.432595268	0.407777259	0.461221038	0.426359204	0.431056726	0.485930588	0.421289594	0.419496745	0.404059086	0.423644037	0.37921772	0.415284454	0.377380322	0.393152853	0.420990774	0.863600551	0.376482731	0.372804699	0.414559809	0.360152988	0.34402084	0.274387562	0.278920078	0	0.87083479	0.869871955	0.649258873	0.846808963	0.880307522	0.682180921	0.7966285	0.845898333	0.555360258	0.534865707	0.546209661	0.518331182	0.598717219	0.631131605	0.607398338	0.843156241	0.905108153	0.901657125	0.550277224	0.526652154	0.380246745	0.288580946	0.285946971	0.600429739	0.89494181	0.916172269	0.91878107	0.557153132	0.558450653	0.518304501	0.850352832	0.870714504	0.866487186	0.705539435	0.698381576	0.523775406	0.409647712	0.391804605	0.386479917	0.535962696	0.889590546	0.877309878	0.544216752	0.648563615	0.645620034	0.756602487	0.873189606	0.868171631	0.968117389	0.968224428	0.963997014	0.818485325	0.839623063	0.828425423	0.841909944	0.905013057	0.903126985	0.829401617	0.882216664	0.858017272	0.913012727	0.916289974	0.954657527	0.874953654	0.881239968	0.855354856	0.824158474	0.82853285	0.831275278	0.938793321	0.941535274	0.939876895	0.920412107	0.936090485	0.949883721	0.945107078	0.943462209	0.965281322	0.948758849	0.936879581	0.950979875	0.947047559	0.948037113	0.927382043	0.867434587	0.831354431	0.894698575	0.971916395	0.953374236	0.959300638	0.962150996	0.974981074	0.932479252	0.96798285	0.977803552	0.939756526	0.871409503	0.852760718	0.891556674	0.748453769	0.845469223	0.709484774	0.942846218	0.941361368	0.938471095	0.975876962	0.977857041	0.944679	0.968491604	0.959996443	0.943689481
N_ZJ_HA_1	0.97186482	0.98482825	0.897349098	0.883209633	0.914806693	0.873136016	0.915529233	0.882459503	0.885563346	0.91849963	0.919141556	0.906044482	0.905576682	0.927021399	0.907877357	0.601436416	0.446771393	0.909750288	0.914259062	0.904185123	0.91646601	0.419213418	0.888372722	0.905375496	0.918981316	0.909843749	0.922017997	0.916358807	0.914365437	0.921482001	0.911235596	0.927623028	0.916800367	0.92370343	0.930164353	0.917536096	0.919998308	0.92227216	0.917322121	0.896907831	0.919890408	0.899423223	0.902941653	0.918740333	0.95140923	0.889965248	0.899623786	0.914660288	0.902821161	0.884506712	0.89175683	0.885523418	0.87083479	0	0.111118923	0.334195288	0.109592997	0.122222674	0.304709807	0.192136015	0.876464912	0.432589562	0.434610018	0.448014617	0.482849787	0.367909169	0.423467183	0.853108196	0.895889744	0.859836625	0.926712777	0.447853995	0.481606094	0.847516024	0.861362684	0.87922255	0.920345387	0.904920782	0.876158436	0.875796884	0.50824101	0.525190588	0.472228981	0.925455963	0.946325704	0.943221989	0.372508334	0.482006836	0.444121682	0.921041474	0.904653294	0.909589629	0.434929915	0.097205922	0.116082539	0.436496062	0.385538719	0.347292551	0.213901742	0.109608083	0.218008993	0.98534891	0.985643556	0.981161379	0.859196111	0.886392653	0.881844813	0.90221848	0.913429445	0.909589909	0.866098169	0.894593557	0.874205697	0.949362248	0.947743533	0.969616014	0.924666716	0.928077711	0.79054094	0.838968247	0.817845397	0.831396876	0.787250665	0.933469609	0.8920785	0.879209421	0.864626883	0.949509583	0.958860761	0.943047883	0.971342691	0.969589248	0.961161076	0.972773588	0.918888223	0.931810215	0.896252158	0.894392312	0.844466985	0.910152314	0.97605139	0.972920886	0.978887536	0.969068333	0.979128395	0.966432631	0.980024058	0.979931705	0.951356146	0.702782795	0.651692783	0.733605148	0.726288201	0.886968303	0.614811997	0.956198253	0.961670198	0.957589252	0.9812287	0.986566847	0.956854128	0.976358999	0.967943897	0.955623339
N_ZJ_HA_2	0.974728191	0.986848619	0.895034643	0.885229761	0.931904187	0.871343231	0.934044572	0.883837751	0.890138531	0.931221943	0.930606491	0.908546193	0.918981304	0.939529733	0.91851297	0.618519496	0.46277082	0.922191695	0.924239023	0.909937903	0.929027709	0.438851822	0.900653651	0.915074997	0.934017827	0.927555782	0.935569745	0.931409568	0.924640122	0.934739959	0.920064831	0.934566705	0.929696832	0.929402874	0.947435582	0.927515855	0.928827828	0.929750435	0.924947906	0.90385134	0.930553229	0.907583774	0.91415279	0.931289054	0.964694034	0.898165763	0.903543334	0.923302206	0.906834968	0.889898295	0.899663327	0.891088697	0.869871955	0.111118923	0	0.328255694	0.124469426	0.073299069	0.295840298	0.170584065	0.875903732	0.438676444	0.441231682	0.459652807	0.489444964	0.385660869	0.442088652	0.874031235	0.900559441	0.856292207	0.928359043	0.460791041	0.493418815	0.843021387	0.861389693	0.8825666	0.936118197	0.905335687	0.872947971	0.866124981	0.523331225	0.539317671	0.480001103	0.920733819	0.950325796	0.943984466	0.36745187	0.495919776	0.454208275	0.930673867	0.915569801	0.919449342	0.443639008	0.110623939	0.100952257	0.449512568	0.392936414	0.346249148	0.203975343	0.071347052	0.182878848	0.986914475	0.986941541	0.982339228	0.87272101	0.899998221	0.894847848	0.915422256	0.918192083	0.913536738	0.880894425	0.900948336	0.88429269	0.956747034	0.955262159	0.968345777	0.93420505	0.932171549	0.799959076	0.852386305	0.829885379	0.842740938	0.782528485	0.930834494	0.885884686	0.880145534	0.866647104	0.950700542	0.959743536	0.942914473	0.97210525	0.967903888	0.959796827	0.970540009	0.918808157	0.930258555	0.896626647	0.904466143	0.855704069	0.914539845	0.971984631	0.971583391	0.97900805	0.966593482	0.979262743	0.964131868	0.980786762	0.978286379	0.947262995	0.723263653	0.670930269	0.746501029	0.744722792	0.902700822	0.632845148	0.952733907	0.960185402	0.956091401	0.981228749	0.986486896	0.955436406	0.976613368	0.96798426	0.955904555
